"row"	"Species"	"genus"	"family"	"order"	"group"	"Growth.form"	"P50"	"HSM"	"MinWP_md"	"MinWP_pd"	"PItlp"	"Ks"	"Kl"	"Hv"	"WUE"	"SLA"	"Aarea"	"Amass"	"LL"	"pLL"	"WD"	"N"	"Narea"	"Hmax"	"Rd"	"lat_mean"	"long_mean"	"MAT_mean"	"MAP_mean"	"biome"
"975"	"Merostachys claussenii"	"Merostachys"	"Poaceae"	"Poales"	"Angiosperms"	"nW"	-2.98	0.78	-2.2	NA	NA	3.1	0.00011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	-25.2191339885311	-53.6327094589778	20.2299382716049	1688.85185185185	"Tropical forest savanna"
"976"	"Metalasia densa"	"Metalasia"	"Asteraceae"	"Asterales"	"Angiosperms"	"W"	-6.204475585	2.834475585	-3.37	NA	NA	0.3775419385	NA	NA	NA	NA	NA	NA	NA	NA	0.7127	NA	NA	NA	NA	-32.7548155347569	22.0929777844109	15.784623015873	554.946428571429	"Mediterranean"
"977"	"Metasequoia glyptostroboides"	"Metasequoia"	"Cupressaceae"	"Pinales"	"Gymnosperms"	"W"	-3.19477777766667	NA	NA	NA	NA	2.32	0.000195753	NA	NA	NA	NA	NA	NA	420	0.363925646666666	NA	NA	65	1.2192	36.7183958487842	22.6053745511068	11.1783430232558	1030.34302325581	"Temperate forest"
"978"	"Metrodorea flavida"	"Metrodorea"	"Rutaceae"	"Sapindales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	1.7473236830972	-31.404224406	11.7368173118038	NA	NA	NA	NA	0.665230301513102	27.172351741875	0.231513799865894	19	NA	-10.4518607699368	-60.9570331290531	25.0755175983437	1916.93788819876	"Tropical forest savanna"
"979"	"Metrosideros polymorpha"	"Metrosideros"	"Myrtaceae"	"Myrtales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	0.854	0.00034	NA	-28.1	5.57936863375179	6.11400557489317	0.0331459473865997	NA	NA	NA	9.10929480769231	0.1632674842918	30	0.6096	20.3916708593601	-156.49999877441	18.6449404761905	1904.10714285714	"Temperate forest"
"980"	"Metteniusa tessmanniana"	"Metteniusa"	"Metteniusaceae"	"Metteniusales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	1.69730655780188	-28.48777855	7.01141605555556	NA	NA	NA	NA	0.473274780213302	17.19413	0.245230490727705	22	NA	1.33706787554929	-77.8295966615797	22.2111940298507	3037	"Tropical rain forest"
"981"	"Mezilaurus ita-uba"	"Mezilaurus"	"Lauraceae"	"Laurales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	1.65127734402227	-32.2325	10.93535975	NA	NA	NA	NA	0.58330979	20.219732	0.184902302825474	26.90232541	NA	NA	NA	NA	NA	NA
"982"	"Mezilaurus lindaviana"	"Mezilaurus"	"Lauraceae"	"Laurales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	1.01560532835954	-30.92	9.842198	NA	NA	NA	NA	0.715952807	22.44	0.227997851699387	22.66053334	NA	-1.88888585820075	-55.8333268576968	26.0347222222222	1985.91666666667	"Tropical forest savanna"
"983"	"Miconia acuminata"	"Miconia"	"Melastomataceae"	"Myrtales"	"Angiosperms"	"W"	NA	NA	NA	NA	-2.12455555566667	NA	NA	NA	-30.9941466733333	10.6905521805364	NA	NA	NA	NA	0.644525	21.3513727777778	0.19972188917099	17	NA	-1.91666363742723	-58.9950917284739	25.1480392156863	2480.41176470588	"Tropical forest savanna"
"984"	"Miconia adinantha"	"Miconia"	"Melastomataceae"	"Myrtales"	"Angiosperms"	"W"	-1.91	NA	NA	NA	-1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.08333046924611	-75.1547564367915	16.7690476190476	1279	"Temperate forest"
"985"	"Miconia albicans"	"Miconia"	"Melastomataceae"	"Myrtales"	"Angiosperms"	"W"	NA	NA	NA	NA	-2.48	NA	NA	NA	NA	6.5359825708061	12.9	0.084	NA	NA	NA	15.4	0.235618743366702	NA	NA	-7.78109409033563	-56.9552631907187	23.2792089873807	1664.82640812558	"Tropical forest savanna"
"986"	"Miconia aprica"	"Miconia"	"Melastomataceae"	"Myrtales"	"Angiosperms"	"W"	-1.55	NA	NA	NA	-1.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.7708307658682	-74.6874945076606	18.2979166666667	1428.875	"Temperate forest"
"987"	"Miconia barbeyana"	"Miconia"	"Melastomataceae"	"Myrtales"	"Angiosperms"	"W"	-1.68	NA	NA	NA	-1.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.43300384655712	-74.1258114718313	19.0959150326797	1903.33333333333	"Tropical forest savanna"
"988"	"Miconia cuspidata"	"Miconia"	"Melastomataceae"	"Myrtales"	"Angiosperms"	"W"	-3.4	2.26	-1.14	-0.53	-2.66	5.37	0.000344	0.75	NA	10.351966871853	NA	NA	NA	NA	0.74	NA	NA	NA	NA	-9.49186728453185	-53.8963348867586	24.5674796747968	1913.60975609756	"Tropical forest savanna"
"989"	"Miconia dolichorrhyncha"	"Miconia"	"Melastomataceae"	"Myrtales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	0.464187320631985	-32.00619318	9.78825	NA	NA	NA	NA	0.664200970173183	19.51456	0.199367200469951	18	NA	-2.49640222975403	-72.2075107181918	23.4449346405229	2538.40784313725	"Tropical rain forest"
"990"	"Miconia lepidota"	"Miconia"	"Melastomataceae"	"Myrtales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	0.747433880477905	NA	14.122466990566	NA	NA	NA	NA	0.708524735325982	30.80673	0.218139861970144	13.36104389	NA	-4.77651227142634	-58.5501830599944	24.9011428571429	2263.81714285714	"Tropical forest savanna"
"991"	"Miconia ligustroides"	"Miconia"	"Melastomataceae"	"Myrtales"	"Angiosperms"	"W"	NA	NA	NA	NA	-2.1	NA	NA	NA	NA	7.63386259541985	14	0.107	NA	NA	NA	15.4	0.201732737621446	NA	NA	-19.3741113564019	-46.0200875752235	20.3359617682198	1359.28315412186	"Tropical forest savanna"
"992"	"Miconia minutiflora"	"Miconia"	"Melastomataceae"	"Myrtales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	0.001458	NA	NA	10.4710537656829	NA	NA	NA	NA	0.5	NA	NA	5	NA	-1.70337316542453	-64.1795223626418	23.678382034632	2138.71103896104	"Tropical forest savanna"
"993"	"Miconia multiflora"	"Miconia"	"Melastomataceae"	"Myrtales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	0.564428546211883	-32.52173242	14.1759829736164	NA	NA	NA	NA	0.652155873190821	21.8241	0.153951228924427	15	NA	-12.749997535755	-65.173605122596	20.1788194444444	1588.125	"Tropical forest savanna"
"994"	"Miconia poeppigii"	"Miconia"	"Melastomataceae"	"Myrtales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	1.91409810313074	-31.0491483233333	13.0392705555362	NA	NA	NA	NA	0.572536703520287	20.7690747222222	0.159280955432005	26	NA	-2.20899876853801	-67.1751278057094	25.0279857397504	2421.29946524064	"Tropical forest savanna"
"995"	"Miconia punctata"	"Miconia"	"Melastomataceae"	"Myrtales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	0.884701568056826	-31.59374831	8.96168263233504	NA	NA	NA	NA	0.560588856379822	27.72294375	0.309349760389546	27	NA	-0.996450823477616	-67.5088593815018	25.2105734767025	2794.75268817204	"Tropical rain forest"
"996"	"Micrandra spruceana"	"Micrandra"	"Euphorbiaceae"	"Malpighiales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	3.06366436272599	-30.800873715	8.21818980939439	NA	NA	NA	NA	0.596812578108653	16.5012666666667	0.200789554018377	35	NA	-1.49572344453362	-69.1111053279475	25.924358974359	2733.44871794872	"Tropical rain forest"
"997"	"Micrandra sprucei"	"Micrandra"	"Euphorbiaceae"	"Malpighiales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	14.2307537258167	-30.897708714	7.04582074344267	5.10728	0.0401271111111111	50	NA	0.570510520415101	9.88937947368419	0.140358090757389	25.92654593	NA	1.35714605712238	-66.1666607299421	25.8696428571429	2892.21428571429	"Tropical rain forest"
"998"	"Micrantheum ericoides"	"Micrantheum"	"Picrodendraceae"	"Malpighiales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	8.80999999164129	NA	5.77948717948718	NA	NA	NA	NA	NA	NA	NA	1	NA	-31.5902189040102	151.124672916453	16.696918767507	1097.94117647059	"Mediterranean"
"999"	"Microdesmis caseariifolia"	"Microdesmis"	"Pandaceae"	"Malpighiales"	"Angiosperms"	"W"	-2.6	NA	NA	NA	-1.951	1.19631388	0.000170746	1.118289674	NA	23.6243346659015	NA	NA	NA	NA	0.643447572	26.0592292490119	0.110306722358725	8	NA	15.1680367071487	107.673512270732	23.6968579234973	1972.62295081967	"Tropical forest savanna"
"1000"	"Micromyrtus sessilis"	"Micromyrtus"	"Myrtaceae"	"Myrtales"	"Angiosperms"	"W"	NA	NA	-5.3	-5.03	NA	0.14	4.06e-05	3.757820857	NA	5.7383686063066	5.03899916813636	0.0240022245950974	NA	NA	NA	15.1	0.263140990688621	1.5	NA	-30.4039424768233	149.424317434845	16.9864503816794	676.87786259542	"Mediterranean"
"1001"	"Micropholis cayennensis"	"Micropholis"	"Sapotaceae"	"Ericales"	"Angiosperms"	"W"	NA	NA	NA	NA	-1.88732	NA	NA	NA	-31.9784530494545	6.33404644022175	NA	NA	NA	NA	0.62678875	15.0364987272727	0.237391671645942	40	NA	1.88889211660074	-53.6666600780324	25.6763888888889	2720	"Tropical rain forest"
"1002"	"Micropholis egensis"	"Micropholis"	"Sapotaceae"	"Ericales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	1.57788669554451	-32.132703828	8.92119835675869	NA	NA	NA	NA	0.589105262620743	15.928818375	0.178550209714061	40	NA	-2.6882686159406	-69.9238625719812	25.6434782608696	2691.59627329193	"Tropical rain forest"
"1003"	"Micropholis guyanensis"	"Micropholis"	"Sapotaceae"	"Ericales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	1.34115022164572	-32.2585070226032	8.4696630099729	NA	NA	NA	NA	0.625102779196382	20.90173942	0.246783601607154	36	NA	-3.1898555277278	-63.5404813476966	25.0198064770932	2405.09241706161	"Tropical forest savanna"
"1004"	"Micropholis maguirei"	"Micropholis"	"Sapotaceae"	"Ericales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	17.9248393910068	-31.7301374733333	7.05484912632026	3.0242125	0.023429175	50.5	NA	0.545618128099832	8.77406842105263	0.124369327592256	24.18990639	NA	0.765154684256713	-68.1439335603351	26.3098484848485	2788.27272727273	"Tropical rain forest"
"1005"	"Micropholis splendens"	"Micropholis"	"Sapotaceae"	"Ericales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	14.3601297087332	-31.53735252	10.9551888661972	NA	NA	NA	NA	0.566077122467639	16.010475	0.146145129906442	22.51670505	NA	0.592108423238153	-64.0657834273931	26.2100877192982	2838.21052631579	"Tropical rain forest"
"1006"	"Micropholis venulosa"	"Micropholis"	"Sapotaceae"	"Ericales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	1.4991593163078	-32.0719998471429	13.8397530186388	NA	NA	NA	NA	0.611062642667204	19.6646906111111	0.142088450455925	40	NA	-5.0841555517974	-62.8787067630867	24.9237593052109	2390.3300248139	"Tropical forest savanna"
"1007"	"Millettia cubittii"	"Millettia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	-0.74	-0.74	-1.48	NA	NA	4.05	0.0002257	0.5564	NA	NA	NA	NA	NA	NA	0.52	NA	NA	NA	NA	21.4166709128172	101.583348018686	21.6416666666667	1609	"Tropical forest savanna"
"1008"	"Millettia pachycarpa"	"Millettia"	"Fabaceae"	"Fabales"	"Angiosperms"	"nW"	-1.32	NA	NA	NA	-1.15	3.13	0.000377	1.1	NA	14.5070397559787	NA	NA	NA	NA	0.49	27	0.186116536896321	NA	NA	24.9039484483799	109.62660543562	18.6874045801527	1635.27480916031	"Tropical forest savanna"
"1009"	"Minquartia guianensis"	"Minquartia"	"Olacaceae"	"Santalales"	"Angiosperms"	"W"	NA	NA	NA	NA	-1.611373333	NA	NA	0.936646479844083	-30.9234523217551	12.0073240506755	NA	NA	NA	NA	0.741606049915386	20.077187072069	0.167207839043367	37.0031662	NA	-1.62630357582638	-71.8057434862891	24.977787456446	2844.60975609756	"Tropical rain forest"
"1010"	"Mischocarpus pentapetalus"	"Mischocarpus"	"Sapindaceae"	"Sapindales"	"Angiosperms"	"W"	-1.79	NA	NA	NA	-1.5412	1.28189306	0.000172918	1.12385426	NA	15.94792486	NA	NA	NA	NA	0.502069393	NA	NA	20	NA	14.794448345224	107.650015001747	23.8397222222222	2035.81666666667	"Tropical forest savanna"
"1011"	"Monotoca glauca"	"Monotoca"	"Ericaceae"	"Ericales"	"Angiosperms"	"W"	NA	NA	-0.65	-0.09	NA	1.69	0.000490978	1.916142689	NA	8.127250489	NA	NA	NA	NA	0.65	NA	NA	4	NA	-40.7427917884653	146.165332325742	11.5003703703704	1352.45	"Temperate forest"
"1012"	"Monotoca scoparia"	"Monotoca"	"Ericaceae"	"Ericales"	"Angiosperms"	"W"	NA	NA	-1.02	-0.33	NA	0.4	0.000111066	2.533835187	NA	8.00557702643062	NA	NA	NA	50	0.744	NA	NA	1.2	NA	-32.8809334853077	149.6031743116	14.9240944689183	983.041116005874	"Mediterranean"
"1013"	"Mora gonggrijpii"	"Mora"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	0.79218009692908	-32.53883096	14.192406375	NA	NA	NA	NA	0.6622315985	18.59487625	0.131019897251216	40.62089457	NA	5.67857485392785	-59.892850878936	25.6690476190476	2087	"Tropical forest savanna"
"1014"	"Morella cerifera"	"Morella"	"Myricaceae"	"Fagales"	"Angiosperms"	"W"	-1.639912572	0.539912572	-1.1	-0.35	NA	2.03	NA	NA	NA	NA	NA	NA	NA	NA	0.539	NA	NA	12	0.508	23.4758108051545	-86.927750522368	20.1356802721088	1595.78367346939	"Tropical forest savanna"
"1015"	"Morisonia americana"	"Morisonia"	"Capparaceae"	"Brassicales"	"Angiosperms"	"W"	-2.39	NA	NA	NA	-4.08	0.14	3.47e-05	2.76	NA	6.79936551099026	7.9	0.05372	12	NA	NA	26.1891732	0.385170839215346	NA	NA	14.3718944260057	-87.6915374744147	24.4925373134328	1298.38059701493	"Tropical forest savanna"
"1016"	"Mouriri brachyanthera"	"Mouriri"	"Melastomataceae"	"Myrtales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	0.943091309869564	-32.075	11.5113623928346	NA	NA	NA	NA	0.722088737138616	17.2392083333333	0.149758193209729	11.59863506	NA	-4.48333043795412	-55.1666601562616	25.9941666666667	2072.4	"Tropical forest savanna"
"1017"	"Mouriri duckeana"	"Mouriri"	"Melastomataceae"	"Myrtales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	1.38506159627233	-32.66	11.102004	NA	NA	NA	NA	0.815335283	26.41	0.237884980045044	19	NA	-3.6468224578195	-58.4960254092623	26.6019841269841	2235.2380952381	"Tropical forest savanna"
"1018"	"Mulinum spinosum"	"Mulinum"	"Apiaceae"	"Apiales"	"Angiosperms"	"nW"	-5.7	-0.54	-6.24	-5.5	-2.81	0.515	0.00143	123.22839505	NA	5.7	NA	NA	NA	NA	0.36	NA	NA	1	NA	-41.9614573925633	-69.7656192509711	8.55885416666667	415.225	"Mediterranean"
"1019"	"Myrcia tomentosa"	"Myrcia"	"Myrtaceae"	"Myrtales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	0.763221667470281	-30.2	7.329993	NA	NA	NA	NA	0.776177685666667	13.76	0.187721870948581	23.31312667	NA	-12.9825496312167	-47.5166597572928	22.9409580052493	1469.9842519685	"Tropical forest savanna"
"1020"	"Myrothamnus flabellifolia"	"Myrothamnus"	"Myrothamnaceae"	"Gunnerales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	0.87	3.28e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-21.6224117915844	28.6936890448745	19.1192528735632	779.151724137931	"Tropical forest savanna"
"1021"	"Myroxylon balsamum"	"Myroxylon"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	0.6700523038205	-30.782051925	11.56198325	NA	NA	NA	NA	0.762252617952381	29.4819775	0.254990660879914	40	NA	1.31000319752086	-75.130827864115	23.7238274706868	2003.47236180905	"Tropical forest savanna"
"1022"	"Myrsine coriacea"	"Myrsine"	"Primulaceae"	"Ericales"	"Angiosperms"	"W"	-3.08	1.86	-1.22	-0.6	-1.79	3.25	0.000434	1.47	NA	11.5074798609551	NA	NA	NA	NA	0.622723287285714	13.7	0.119053000009882	3.8	NA	-5.81660100701736	-66.5002297074392	18.8913667929293	1659.41571969697	"Tropical forest savanna"
"1023"	"Myrsine guianensis"	"Myrsine"	"Primulaceae"	"Ericales"	"Angiosperms"	"W"	-2.12	0.58	-1.54	-0.36	-1.76	2	0.000384	1.81	NA	5.15198351382638	NA	NA	NA	NA	0.52	11.8333333333333	0.229684999992259	12	NA	-8.32925366527677	-55.890567565183	21.2326706428098	1607.53081510934	"Tropical forest savanna"
"1024"	"Myrsine parvifolia"	"Myrsine"	"Primulaceae"	"Ericales"	"Angiosperms"	"W"	NA	NA	NA	NA	-2.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.0218957875	NA	NA	NA	-20.8428941326899	-43.8196650289652	21.9880952380952	1464.68067226891	"Tropical forest savanna"
"1025"	"Myrsine pellucida"	"Myrsine"	"Primulaceae"	"Ericales"	"Angiosperms"	"W"	-1.48	NA	NA	NA	-1.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.96468629095516	-72.9830452662265	18.5366525423729	1567.35593220339	"Temperate forest"
"1026"	"Myrtus communis"	"Myrtus"	"Myrtaceae"	"Myrtales"	"Angiosperms"	"W"	-6.14658333325	0.826583333249999	-5.32	-4.43	-2.74	0.669333333333333	0.000322	3.73	NA	8.70312560386473	NA	NA	22.5	10	0.602116351	12.25	0.140754029731114	5	NA	37.1091742641616	0.67731438736233	15.8532011404873	656.237947122862	"Mediterranean"
"1027"	"Nageia fleuryi"	"Nageia"	"Podocarpaceae"	"Pinales"	"Gymnosperms"	"W"	-3.7	NA	NA	NA	NA	NA	5.56e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.8000042661427	102.333348057801	21.7491666666667	1675.25	"Tropical forest savanna"
"1028"	"Naucleopsis glabra"	"Naucleopsis"	"Moraceae"	"Rosales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	1.11599726831099	-32.064265375	12.1951949424242	NA	NA	NA	NA	0.720788509064926	17.79123	0.14588721282436	20.56055918	NA	-3.4669149745594	-72.2458067756297	25.0784338358459	2608.21105527638	"Tropical rain forest"
"1029"	"Nealchornea yapurensis"	"Nealchornea"	"Euphorbiaceae"	"Malpighiales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	2.27330007391602	-31.86291862	8.96984993490116	NA	NA	NA	NA	0.594778920309719	22.0034725	0.245304800634242	31.65547421	NA	-5.06596935722956	-70.6527720750164	25.5377893518519	2532.625	"Tropical forest savanna"
"1030"	"Nectandra crassiloba"	"Nectandra"	"Lauraceae"	"Laurales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	0.572788314590501	-31.781320225	10.3471845090362	NA	NA	NA	NA	0.489579764011406	24.46576	0.236448475221778	30	NA	-0.96428263537643	-77.0833279659433	23.4369047619048	3197.28571428571	"Tropical rain forest"
"1031"	"Nectandra pulverulenta"	"Nectandra"	"Lauraceae"	"Laurales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	1.01689601817423	-30.54	9.158871	NA	NA	NA	NA	0.672932331	20.57	0.224591000353646	30	NA	-9.61444181666978	-67.4455496855286	24.5425555555556	2182.34666666667	"Tropical forest savanna"
"1032"	"Nectandra purpurea"	"Nectandra"	"Lauraceae"	"Laurales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	0.0010602	NA	NA	9.79510990341152	10.8714918759232	0.0736	22.64705882	NA	0.471460429333333	18.2880911525	0.186706339518768	17	NA	-0.0614254454322804	-75.0680897656049	22.084	2201.89714285714	"Tropical forest savanna"
"1033"	"Neea floribunda"	"Neea"	"Nyctaginaceae"	"Caryophyllales"	"Angiosperms"	"W"	NA	NA	NA	NA	-1.90604	NA	NA	1.13420136395064	-33.9251131529412	13.3771778900086	NA	NA	NA	NA	0.495289160727273	35.2219153333333	0.263298549387166	25	NA	-5.7760388387065	-66.712233675062	25.2408203125	2373.859375	"Tropical forest savanna"
"1034"	"Neea oppositifolia"	"Neea"	"Nyctaginaceae"	"Caryophyllales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	0.179214251819251	-34.06	10.4477790446881	NA	NA	NA	NA	0.682946548657363	23.5493066666667	0.225400121556359	20.81869212	NA	-6.70192029725071	-61.1762758542951	25.4490384615385	2316.96153846154	"Tropical forest savanna"
"1035"	"Neea steinbachiana"	"Neea"	"Nyctaginaceae"	"Caryophyllales"	"Angiosperms"	"W"	NA	NA	-2.5	NA	NA	1.2546	0.00018	0.151	NA	14.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	-16.1167	-61.7167	23.47	1125	"Tropical forest savanna"
"1036"	"Neoscortechinia kingii"	"Neoscortechinia"	"Euphorbiaceae"	"Malpighiales"	"Angiosperms"	"W"	NA	NA	NA	NA	-1.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.585	NA	NA	NA	NA	1.39583653533069	113.979181998497	25.7770833333333	3159	"Tropical rain forest"
"1037"	"Nephelium lappaceum"	"Nephelium"	"Sapindaceae"	"Sapindales"	"Angiosperms"	"W"	-0.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7102714	16	NA	NA	NA	6.01620714666878	72.7291798471947	24.5339201877934	2478.42253521127	"Tropical forest savanna"
"1038"	"Nerium oleander"	"Nerium"	"Apocynaceae"	"Gentianales"	"Angiosperms"	"W"	-1.7	NA	NA	NA	NA	NA	NA	NA	NA	7.24598431372549	NA	NA	NA	NA	0.6	12.95	0.178719680298919	4	0.4064	22.4923081751384	-4.11692230685193	17.5074251597713	770.496475327291	"Mediterranean"
"1039"	"Nestegis sandwicensis"	"Nestegis"	"Oleaceae"	"Lamiales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	0.093	5.4e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.3166709076019	-157.949998850031	20.665	1633.4	"Tropical forest savanna"
"1040"	"Nicotiana tabacum"	"Nicotiana"	"Solanaceae"	"Solanales"	"Angiosperms"	"nW"	NA	NA	NA	NA	-0.97	NA	NA	NA	NA	44.1	NA	NA	NA	1	NA	NA	NA	3	NA	11.6556986169161	-7.68233166101331	18.3547107218684	1359.32963549921	"Temperate forest"
"1041"	"Nothofagus alessandrii"	"Nothofagus"	"Nothofagaceae"	"Fagales"	"Angiosperms"	"W"	-3	1.374	-1.626	-1.256	-1.79	0.52	0.00558	6.993006993	NA	13.9	NA	NA	NA	NA	0.5709	NA	NA	30	NA	-29.5833317470028	-73.2166610976192	13.5966666666667	855.8	"Mediterranean"
"1042"	"Nothofagus antarctica"	"Nothofagus"	"Nothofagaceae"	"Fagales"	"Angiosperms"	"W"	-3.1825	1.5195	-1.663	-0.719	-1.729	0.86	0.0056	6.4195153265	NA	9.92770299609205	NA	NA	NA	5	0.5561	17.721	0.178500505171999	35	NA	-38.8955927690667	-56.3975031323309	7.22155172413793	1106.26436781609	"Temperate forest"
"1043"	"Nothofagus cunninghamii"	"Nothofagus"	"Nothofagaceae"	"Fagales"	"Angiosperms"	"W"	-2.0035	NA	NA	NA	-2.08	NA	NA	7.52999999652016	NA	5.35618639528656	NA	NA	NA	NA	0.566370752333333	NA	NA	55	NA	-40.3428742928816	145.10370652249	10.3488549618321	1497.69465648855	"Temperate forest"
"1044"	"Nothofagus dombeyi"	"Nothofagus"	"Nothofagaceae"	"Fagales"	"Angiosperms"	"W"	-2.635	1.164	-1.471	-0.556	-1.6335	0.75	0.0055	5.1315789475	NA	7.0078676562111	11.2	0.08685	17.2	400	0.557616666666667	12.97	0.185077696045025	40	NA	-27.9784929536277	-50.5752620673451	8.50698924731183	1354.20967741935	"Temperate forest"
"1045"	"Nothofagus glauca"	"Nothofagus"	"Nothofagaceae"	"Fagales"	"Angiosperms"	"W"	-2.07	0.644	-1.426	-0.231	-1.68	0.804	0.006	5.464480874	NA	9	NA	NA	NA	NA	0.5588	NA	NA	30	NA	-36.2166654262866	-71.8333276921412	10.2291666666667	1085.6	"Temperate forest"
"1046"	"Nothofagus gunnii"	"Nothofagus"	"Nothofagaceae"	"Fagales"	"Angiosperms"	"W"	-1.53	NA	NA	NA	-1.795	NA	NA	NA	NA	9.80392156862745	NA	NA	NA	NA	NA	NA	NA	NA	NA	-42.3333324119578	146.198734960887	8.12980769230769	1850.69230769231	"Temperate forest"
"1047"	"Nothofagus obliqua"	"Nothofagus"	"Nothofagaceae"	"Fagales"	"Angiosperms"	"W"	-2.85	0.888	-1.962	-0.227	-1.95	0.723	0.0051	6.578947368	NA	14.1925555670067	NA	NA	NA	NA	0.599733333333333	17.5	0.123304079504061	40	NA	-30.1874984451788	-39.3720164753842	9.80565476190476	1192.39285714286	"Temperate forest"
"1048"	"Nothofagus pumilio"	"Nothofagus"	"Nothofagaceae"	"Fagales"	"Angiosperms"	"W"	-2.885	1.48	-1.405	-0.673	-1.615	1.127	0.006745	5.315848844	NA	12.6021368699749	NA	NA	NA	NA	0.529773333333333	15.495	0.122955338129341	40	NA	-43.0172947117796	-72.8883591937049	6.50581761006289	1022.03773584906	"Temperate forest"
"1049"	"Nuytsia floribunda"	"Nuytsia"	"Loranthaceae"	"Santalales"	"Angiosperms"	"W"	NA	NA	-2.7667	-2.7	NA	0.281769581	0.00017	6.033298535	NA	1.86631022201985	12.8306666524365	0.0324467697108916	28.44	NA	0.6322	6.97	0.373464171056009	12	NA	-32.6130122703075	117.30595157839	16.9781392694064	657.698630136986	"Mediterranean"
"1050"	"Nyssa sylvatica"	"Nyssa"	"Cornaceae"	"Cornales"	"Angiosperms"	"W"	-1.82	0.81	-1.01	NA	NA	0.18	2.9e-05	1.554145228	-31.46	18.5855268366667	NA	NA	NA	NA	0.5346176205	16.1083333333333	0.0866713840016296	39.9288	0.762	36.3388939132831	-78.5080592230427	13.3977550287356	1212.97198275862	"Temperate forest"
"1051"	"Ochroma pyramidale"	"Ochroma"	"Malvaceae"	"Malvales"	"Angiosperms"	"W"	-1	0	-1	-0.1	NA	2.105	0.00114	3.74	-28.6745	11.4500902817598	14.5203162293704	0.2247	NA	NA	0.182498684104309	21.2832747583333	0.185878663264673	30	NA	5.52934614057835	-63.6960033240952	24.545	2999.74285714286	"Tropical rain forest"
"1052"	"Ocotea bofo"	"Ocotea"	"Lauraceae"	"Laurales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	1.07876448514449	-31.30996788	7.96560068859649	NA	NA	NA	NA	0.538245951954695	23.55361	0.295691573313726	25.5	NA	-3.53636069159679	-72.5363580318365	24.4038636363636	2293.72727272727	"Tropical forest savanna"
